label,tweets
1,"To send them back where they come from you have to send them to a dark place where the sun never shines, people hate each other and are always lying and cheating. Europe is not such a place. Hell is!!!"
2,A bunch of racists chanted send her back after their cult leader started attacking Its despicable and one o
2,Who are the phony sources who do not exist? The only thing people are talking about is how you stood there for 13 seconds while YOUR supporters taunted Send her back &amp; you claimed you didnt like it &amp; started speaking right away..13 seconds is not right away!
1,Trump didn't tell any one to send them back. It was the crowd on their own accord. Watch the vid. Facts.
1,In order for an unlawful Alien to have same Rights and Protections would take a Constitutional Amendment to our Constitution and this should never be allowed for excusing Criminal Behavior to a Sovereign Nation such as ours. We have a Legal Immigration System in place.
1,Those illegal aliens they translate into a vote so if they recycle the children over and over and get an illegal alien adult in here each time it's a vote each time it's a vote and the children can always be put into prostitution and remember Obama started all this
2,Trump's History of Racism 1. Housing discrimination 2. Central Park 5 3. Casino workers discrimination 3. Birtherism 4. Mexicans are rapists 5. Ban on Muslims 6. Very fine people in Charlottesville 7. Black athletes SOBs 8. Black countries shitholes 9. Send Her Back
2,Lara Trump lashes out after CNN host accuses her of 'lying' about rally crowd's Send her back! chant CNN should be ashamed of themselves.
2,The MAGA White crowd chanting send her back is deplorable. Being coached by your family and supporters i
1,Really Chris? Your going 2 stick up for the squad? Now that's a new lo
2,President Trump claims Melania and Ivanka did not advise him to denounce Send her back chant
1,Smooth Criminal | Alien Ant Farm | ANThology
1,SEND THEM BACK TO THEIR STATES VOTE THEM OUT
2,To many lives ruined because Congress will not do their job! #fiximmigration
1,"Not to worry. You don't need the original packaging to send them back, just as long as everything is securely packaged. You can start a return here"
1,Is the US conquered by the illegal alien invasion?
2,LMFAO! Trump supporters are chanting send her back LMFAO! She`s from queens LMFAO! Trump supporters are a special kind of stupid! LMFAO!
1,Yes you nailed it Dan. The past 49 years have been totally forgotten. Hurry up and start yelling Send Them Back and bring us all together.
1,"No, it's not about race. It's about UnAmerican Democrats hating the United States of America. They need a new country compat"
2,Republicans on twitter demanding an apology from liberals for the Erica Thomas racism thing is the most ridiculous petty ass shit - as if yall didnt just support/stay silent on send her back.
1,"Angel moms a joke, an auto accidents is not murder, you son, daughter was not murdered by an illegal white lady, thousend of American kill other Americans yearly in traffic accident, an illegal alien more likely murdered by a border potral, an American criminal or American gangs"
2,Mike Pence says Trump 'might make an effort to speak out' if 'send her back' chant happens again - USA TODAY #Politics #PoliticalParties #Government
1,"They didn't applaud the system of other countries. They criticzed the system in the US. And that's why he told them to go back to where they came from, which in itself is an excluding and racist statement. And Send them back! doesn't sound like People want options there."
1,I think I will post some Schumer videos on him saying he wants to send them back
1,"OMG! Send her back!! Such BS! Melania, I want to see your husbands tax returns....where are they? No returns.......he shouldn't be on the 2020 ballot!"
1,Unbelievable!! Twitter kicks off the mother of a child KILLED by an illegal immigrant because she posted tweets about othe
1,Send her back ?
1,Everyone. Wants. To. Send. Her. Back.
1,Send them back...to Congress!
1,#IllegalAlien are to be called undocumented foreign national &amp; #Alien are to be called foreign national. If they're here #i
2,"Michelle Obama, Hillary slam Trump..Two former First Ladies weighed in on President Trumps send her back comment Friday. Mic"
1,"Thanks to Democrats, their illegal alien voters, and their ballot harvested super-majority, California is the closest thing you can get to Venezuela without going to South America."
1,"The racist gop would like to define what is racist. Housing discrimination,Birtherism,send them back...nothing to see here."
1,"Yes, We The People LOVES OUR PRESIDENT, we'll see him being in that Oval Office making all you haters DIE EARLY from your TDSI wonder witch ILLEGAL ALIEN LOVING COMMUcrat will be going to their celebration party, BUT IT'LL BE A TEAR~FEST #TRUMP2020"
2,"Trump waiting 13 seconds before making a sound while his frothing crowd chants his words, send her back. Trump lying about his response. is a big fat liar 24/7. Everyone knows that he is a liar. Thats what we all know. I am sure you agree."
1,"Send them back! When they come here they are not sending their best, they bring disease, they are rapists, they are theives, they will take our kids, they will kill us! Oh, did you think I was talking about today's immigrants? No I'm not, I AM A NATIVE AMERICAN -"
2,2/2 Fascinating conservative black guy says his former pro-Trump friends working now for Biden/Harris.The
1,"Seriously, load them all on a boat and send them back."
1,"Yes the new chant should be close the camps, send them back soooooothing"
1,"Lol I say, send em back to their home countries. Lol send them back!"
2,you didn't it during OBAMA and your doing it again #babykillers #SEXTRAFFICKER
1,Bro I don't know how much more clearly it can be
2,"From The Local Party SCCDP Rowaida_Abdel I dont hate them, Nancy said of Muslims. I just think they should go back where they can be together and have their own country &amp; their own religion. letsgomathias dispatch from Trump's rally is chilli"
1,send her back. citizenship fraud.
1,Now we know why Democrats want more illegal immigrant children coming across the border.
1,"idk if any of u still play #PokemonGO but if u do add me and send me gifts, ill send them back friend code 5812 7450 6522"
2,He spent the last week on his Facebook calling out Trump for racism and the chants send her back. Maybe he is overcompensating like most liberals do
1,Then send them back where they came from. Problem solved.
2,Trump praises send her back rally crowd as incredible patriots via
1,And this lovable creature will never hear send her back because she's white - very smart
1,#Deplorables. They should go back to where they came from. Send them back. Obviously not #Patrio
1,Customers only restroom restriction should be illegal. But this country hates poor people and really hates homeless peopl
1,Flashback Friday Ep35 Send HerBack!
2,Your silence over the president's racist tweets enables hate and incites division. Please s
1,"Tonight we're talking Trump v. 'the Squad' &amp; 'send her back,' the evidence that Ilhan Omar fraudulently married her bro"
1,Send them back....Send them back......
1,"The truth is that acts of race based hate have been on the rise over the past 2+ years. The enabling comes straight from the occupant of the White House. Now, send them back is an acceptable thing to yell at legal immigrants. Very sad."
1,"Engage with her on topics she finds interesting 1st during the people, if she engages back then send this &amp; DM her &amp; say u are such an interesting person Wen u go on a date dress well, bring her things she told u she likes, a book/chocolate/flowers dont come emptyhanded"
1,Send her back. Lock her up. Nasty woman. Horse face. That dog. Face of a pig. Not my type. Fat. Disgusting. Low IQ. Slob. Pocahontas. Blood coming out of her wherever. Look at that face. Grab them by the pussy. But nobody has more respect for women?
1,His fault for putting his child in danger by leaving his country were he probably had a house and had food on the table he looks like a strong healthy man now he broke the law and is detained and you want us to feel sorry for him lol send them back to where they came from
2,Show me a video of Lara Trump queing up send her back. Another example of fake media and news.
1,"I understand, no worries. Thank you for the love and prayers. I send them right back to all of you."
1,"Remember! My Ancestors were here, when your illiterate, poor and racist ancestors.. Got off boats.. From governmentally corrupt, European countries! We watched them take our jobs, and be granted land! All because, the color of their skin! Too bad.. We couldnt Send them back!"
1,She is here illegally anyway and should be send back. Ilhan committed fraud to get in and the facts are coming out soon. She will be gone. She hates America and likes Al-Qaeda she wont even condemned them for what they did to our country or all the people they have killed.
2,Why? Its a instagram video shorter than 20 seconds. You act like she put on a maga hat and chanted 'send her back'. Twitter isn't real life. Most players including athletes dont know about the history of barstool being asshats.
2,"As thousands chanted Send her back! at Trump's hate rally Wednesday night in Greenville, N.C., the president paused t"
2,"As I just wrote With the help of his nihilistic Republican enablers, Trump is mobilizing the forces of racism and dragging u"
1,Send them back!
1,This explains everything! Send her back to Palestine!
1,"Fomenting fear and disunity is harmful enough, but for an American leader to bask in and relish the resulting animosity is as shameful as it is destructive The Real Meaning of Send Her Back!"
